epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.81,2.35722,5.51051,2.09703,0.46305,0.115,0.05375,0.01836,2.41925,3.94549,2.2415,0.000333188,0.000333188,0.000333188
2,351.5,2.18008,4.27217,1.98275,0.54335,0.18755,0.09265,0.03369,2.25309,4.66154,2.13342,0.00053455,0.00053455,0.00053455
3,531.472,2.07496,3.56923,1.90768,0.49275,0.27636,0.08578,0.03568,2.07952,4.8803,2.04618,0.000603912,0.000603912,0.000603912
4,772.441,1.91484,3.10835,1.78487,0.63273,0.19154,0.12725,0.05976,2.01627,3.84183,1.95851,0.000406,0.000406,0.000406
5,939.464,1.76298,2.76495,1.68233,0.60518,0.2186,0.16668,0.08793,1.8811,3.67181,1.77665,0.000208,0.000208,0.000208
